schema_version,session_id,ts_utc_ms,elapsed_ms,source,metric,value,unit,status,reason,scope,sample_count
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673117000,15386,presentmon,frame_time_p95_ms,23.7494,ms,ok,,process,55
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673117000,15386,presentmon,gpu_busy_median_ms,17.9385,ms,ok,,process,55
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673117000,15386,presentmon,gpu_busy_p95_ms,18.7081,ms,ok,,process,55
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673120712,19098,windows_pdh,process_gpu_pct,96.98372168361628,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673121702,20088,psutil,process_cpu_pct_raw,609.1,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673121702,20088,psutil,process_cpu_pct,30.455000000000002,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673121702,20088,psutil,process_memory_mb,7843.6171875,MiB,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673121702,20088,win32_foreground,game_foreground,1.0,boolean,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673118000,16386,presentmon,app_fps,52.836992594147794,fps,ok,,process,53
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673118000,16386,presentmon,frame_time_avg_ms,18.926133962264153,ms,ok,,process,53
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673118000,16386,presentmon,frame_time_p95_ms,27.4904,ms,ok,,process,53
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673118000,16386,presentmon,gpu_busy_median_ms,18.2857,ms,ok,,process,53
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673118000,16386,presentmon,gpu_busy_p95_ms,21.1704,ms,ok,,process,53
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673121702,20088,windows_pdh,process_gpu_pct,97.84834112889159,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673122707,21093,psutil,process_cpu_pct_raw,705.0,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673122707,21093,psutil,process_cpu_pct,35.25,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673122707,21093,psutil,process_memory_mb,7844.07421875,MiB,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673122707,21093,win32_foreground,game_foreground,1.0,boolean,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673119000,17386,presentmon,app_fps,44.90913982829939,fps,ok,,process,45
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673119000,17386,presentmon,frame_time_avg_ms,22.26718222222222,ms,ok,,process,45
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673119000,17386,presentmon,frame_time_p95_ms,28.3029,ms,ok,,process,45
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673119000,17386,presentmon,gpu_busy_median_ms,21.3372,ms,ok,,process,45
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673119000,17386,presentmon,gpu_busy_p95_ms,23.3093,ms,ok,,process,45
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673122707,21093,windows_pdh,process_gpu_pct,98.1984996268617,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673122707,21093,nvidia-smi,device_gpu_util_pct,96.0,percent,ok,,device,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673122707,21093,nvidia-smi,device_vram_used_mb,4979.0,MiB,ok,,device,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673122707,21093,nvidia-smi,device_gpu_temperature_c,65.0,celsius,ok,,device,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673122707,21093,nvidia-smi,device_gpu_power_w,148.99,watt,ok,,device,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673122707,21093,nvidia-smi,device_gpu_clock_mhz,1965.0,MHz,ok,,device,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673123713,22099,psutil,process_cpu_pct_raw,742.2,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673123713,22099,psutil,process_cpu_pct,37.11,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673123713,22099,psutil,process_memory_mb,7844.62109375,MiB,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673123713,22099,win32_foreground,game_foreground,1.0,boolean,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673120000,18386,presentmon,app_fps,46.80902376219388,fps,ok,,process,46
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673120000,18386,presentmon,frame_time_avg_ms,21.363402173913045,ms,ok,,process,46
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673120000,18386,presentmon,frame_time_p95_ms,26.5806,ms,ok,,process,46
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673120000,18386,presentmon,gpu_busy_median_ms,20.8356,ms,ok,,process,46
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673120000,18386,presentmon,gpu_busy_p95_ms,22.5711,ms,ok,,process,46
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673123713,22099,windows_pdh,process_gpu_pct,99.01479558521396,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673124703,23089,psutil,process_cpu_pct_raw,586.9,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673124703,23089,psutil,process_cpu_pct,29.345,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673124703,23089,psutil,process_memory_mb,7874.2265625,MiB,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673124703,23089,win32_foreground,game_foreground,1.0,boolean,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673121000,19386,presentmon,app_fps,48.98940359200305,fps,ok,,process,49
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673121000,19386,presentmon,frame_time_avg_ms,20.41257755102041,ms,ok,,process,49
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673121000,19386,presentmon,frame_time_p95_ms,28.1701,ms,ok,,process,49
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673121000,19386,presentmon,gpu_busy_median_ms,19.8609,ms,ok,,process,49
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673121000,19386,presentmon,gpu_busy_p95_ms,21.38,ms,ok,,process,49
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673124703,23089,windows_pdh,process_gpu_pct,95.67186409334069,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673125709,24095,psutil,process_cpu_pct_raw,649.6,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673125709,24095,psutil,process_cpu_pct,32.480000000000004,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673125709,24095,psutil,process_memory_mb,7877.26171875,MiB,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673125709,24095,win32_foreground,game_foreground,1.0,boolean,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673122000,20386,presentmon,app_fps,47.67764666314581,fps,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673122000,20386,presentmon,frame_time_avg_ms,20.97418958333333,ms,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673122000,20386,presentmon,frame_time_p95_ms,29.19,ms,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673122000,20386,presentmon,gpu_busy_median_ms,20.07995,ms,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673122000,20386,presentmon,gpu_busy_p95_ms,21.6109,ms,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673125709,24095,windows_pdh,process_gpu_pct,98.07205297427582,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673126714,25100,psutil,process_cpu_pct_raw,579.7,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673126714,25100,psutil,process_cpu_pct,28.985000000000003,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673126714,25100,psutil,process_memory_mb,7878.80859375,MiB,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673126714,25100,win32_foreground,game_foreground,1.0,boolean,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673123000,21386,presentmon,app_fps,47.59774668300724,fps,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673123000,21386,presentmon,frame_time_avg_ms,21.009397916666668,ms,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673123000,21386,presentmon,frame_time_p95_ms,27.0576,ms,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673123000,21386,presentmon,gpu_busy_median_ms,20.044449999999998,ms,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673123000,21386,presentmon,gpu_busy_p95_ms,22.6514,ms,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673126714,25100,windows_pdh,process_gpu_pct,96.45966946636403,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673127705,26091,psutil,process_cpu_pct_raw,610.7,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673127705,26091,psutil,process_cpu_pct,30.535000000000004,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673127705,26091,psutil,process_memory_mb,7880.78515625,MiB,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673127705,26091,win32_foreground,game_foreground,1.0,boolean,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673124000,22386,presentmon,app_fps,47.938470972506785,fps,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673124000,22386,presentmon,frame_time_avg_ms,20.860072916666667,ms,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673124000,22386,presentmon,frame_time_p95_ms,27.0904,ms,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673124000,22386,presentmon,gpu_busy_median_ms,19.94155,ms,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673124000,22386,presentmon,gpu_busy_p95_ms,23.9375,ms,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673127705,26091,windows_pdh,process_gpu_pct,97.34375099416565,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673128710,27096,psutil,process_cpu_pct_raw,621.9,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673128710,27096,psutil,process_cpu_pct,31.095,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673128710,27096,psutil,process_memory_mb,7879.73828125,MiB,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673128710,27096,win32_foreground,game_foreground,1.0,boolean,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673125000,23386,presentmon,app_fps,46.01633119594144,fps,ok,,process,46
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673125000,23386,presentmon,frame_time_avg_ms,21.731415217391305,ms,ok,,process,46
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673125000,23386,presentmon,frame_time_p95_ms,25.871,ms,ok,,process,46
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673125000,23386,presentmon,gpu_busy_median_ms,20.6351,ms,ok,,process,46
