schema_version,session_id,ts_utc_ms,elapsed_ms,source,metric,value,unit,status,reason,scope,sample_count
0.1,ec9d1b29-a9aa-4c3b-9932-1cb0b3c01d02,1787670714000,157947,presentmon,gpu_busy_median_ms,20.1846,ms,ok,,process,41
0.1,ec9d1b29-a9aa-4c3b-9932-1cb0b3c01d02,1787670714000,157947,presentmon,gpu_busy_p95_ms,21.3951,ms,ok,,process,41
0.1,ec9d1b29-a9aa-4c3b-9932-1cb0b3c01d02,1787670717118,161065,windows_pdh,process_gpu_pct,83.71742150243335,percent,ok,,process,
0.1,ec9d1b29-a9aa-4c3b-9932-1cb0b3c01d02,1787670718123,162070,psutil,process_cpu_pct_raw,553.1,percent,ok,,process,
0.1,ec9d1b29-a9aa-4c3b-9932-1cb0b3c01d02,1787670718123,162070,psutil,process_cpu_pct,27.655,percent,ok,,process,
0.1,ec9d1b29-a9aa-4c3b-9932-1cb0b3c01d02,1787670718123,162070,psutil,process_memory_mb,7799.4921875,MiB,ok,,process,
0.1,ec9d1b29-a9aa-4c3b-9932-1cb0b3c01d02,1787670718123,162070,win32_foreground,game_foreground,1.0,boolean,ok,,process,
0.1,ec9d1b29-a9aa-4c3b-9932-1cb0b3c01d02,1787670715000,158947,presentmon,app_fps,39.2105120245897,fps,ok,,process,40
0.1,ec9d1b29-a9aa-4c3b-9932-1cb0b3c01d02,1787670715000,158947,presentmon,frame_time_avg_ms,25.503365,ms,ok,,process,40
0.1,ec9d1b29-a9aa-4c3b-9932-1cb0b3c01d02,1787670715000,158947,presentmon,frame_time_p95_ms,39.5786,ms,ok,,process,40
0.1,ec9d1b29-a9aa-4c3b-9932-1cb0b3c01d02,1787670715000,158947,presentmon,gpu_busy_median_ms,20.88165,ms,ok,,process,40
0.1,ec9d1b29-a9aa-4c3b-9932-1cb0b3c01d02,1787670715000,158947,presentmon,gpu_busy_p95_ms,23.6337,ms,ok,,process,40
0.1,ec9d1b29-a9aa-4c3b-9932-1cb0b3c01d02,1787670718123,162070,windows_pdh,process_gpu_pct,76.34813060194357,percent,ok,,process,
0.1,ec9d1b29-a9aa-4c3b-9932-1cb0b3c01d02,1787670719114,163061,psutil,process_cpu_pct_raw,578.1,percent,ok,,process,
0.1,ec9d1b29-a9aa-4c3b-9932-1cb0b3c01d02,1787670719114,163061,psutil,process_cpu_pct,28.905,percent,ok,,process,
0.1,ec9d1b29-a9aa-4c3b-9932-1cb0b3c01d02,1787670719114,163061,psutil,process_memory_mb,7800.6328125,MiB,ok,,process,
0.1,ec9d1b29-a9aa-4c3b-9932-1cb0b3c01d02,1787670719114,163061,win32_foreground,game_foreground,1.0,boolean,ok,,process,
0.1,ec9d1b29-a9aa-4c3b-9932-1cb0b3c01d02,1787670716000,159947,presentmon,app_fps,36.07124751585048,fps,ok,,process,35
